Tweet,Polarity,Subjectivity,Classification,P_pos,P_neg
"3times in 3 years Haryana witnessed Naked,Inexcusable Danceof Violence.
1.Sant Rampal
2.Jaat Aandolan
3.Baba Ram Rahim Verdict
#BabaRamRahim",Neutralness,0.0,neg,0.17525966955307273,0.8247403304469296
Letter written by a victim Sadhvi 2 AB Vajpayee is shocking .Cant believe politicians touch the feet of this monster https://t.co/dN3jR0Vako,Negativeness,0.525,pos,0.8591043814668219,0.14089561853317803
@SushilModi Tripal talaq par tweet par tweet .baba ram rahim par mun suuj gaya kya,Negativeness,0.0,neg,0.1396103896103897,0.8603896103896105
I love Baba ram rahim #RamRahimSingh,Positiveness,0.6,neg,0.1927223719676548,0.8072776280323455
"RT @PTI_News_: #Breaking: Baba Gurmeet Ram Rahim Singh Insaan tries to run away from jail in his bike cum helicopter, gets caught by police…",Negativeness,0.2,neg,0.36848376832176044,0.6315162316782416
"@firstpost Very nicely selected words 'state government' 2continue patronage,which is seen from decades.Why Baba to… https://t.co/PiUx4POsuY",Positiveness,1.0,pos,0.8478176046340512,0.15218239536594907
"@TV9Telugu Ravi Prakash is also similar like Ram Rahim Baba, she employees only Female for Anchoring and news Reading..",Positiveness,0.5222222222222223,neg,0.44727187670115603,0.5527281232988429
@jyotyshekhawat Baba ram raheem ne kya bata,Positiveness,0.0,neg,0.3749999999999995,0.6249999999999998
"No way Ram Rahim can go to Punjab &amp; Haryana High Court now. He is guilty, can only argue on sentence!… https://t.co/TBQ57rl27L",Negativeness,0.8466666666666667,neg,0.19726446289272465,0.8027355371072744
"@Swamy39 How Baba Bling Ram Rahim verdict, violence affected PM @narendramodi  Mann Ki Baat https://t.co/xfzQJ8Ey6n",Negativeness,0.0,neg,0.38472549253007476,0.6152745074699245
